date,source,mean_sst,site
2000-01-01,ESACCI,16.845519835747,OL
2000-01-01,METOFFICE,NA,OL
2000-01-02,ESACCI,16.8270987835272,OL
2000-01-02,METOFFICE,NA,OL
2000-01-03,ESACCI,16.8276250993049,OL
2000-01-03,METOFFICE,NA,OL
2000-01-04,ESACCI,16.1352566937279,OL
2000-01-04,METOFFICE,NA,OL
2000-01-05,ESACCI,16.1870987978323,OL
2000-01-05,METOFFICE,NA,OL
2000-01-06,ESACCI,16.1673619561682,OL
2000-01-06,METOFFICE,NA,OL
2000-01-07,ESACCI,16.1126251152864,OL
2000-01-07,METOFFICE,NA,OL
2000-01-08,ESACCI,16.0360461696296,OL
2000-01-08,METOFFICE,NA,OL
2000-01-09,ESACCI,16.044467222073,OL
2000-01-09,METOFFICE,NA,OL
2000-01-10,ESACCI,16.133151430617,OL
2000-01-10,METOFFICE,NA,OL
2000-01-11,ESACCI,16.1760461665004,OL
2000-01-11,METOFFICE,NA,OL
2000-01-12,ESACCI,16.1734145876118,OL
2000-01-12,METOFFICE,NA,OL
2000-01-13,ESACCI,17.0036777269488,OL
2000-01-13,METOFFICE,NA,OL
2000-01-14,ESACCI,17.0549935152754,OL
2000-01-14,METOFFICE,NA,OL
2000-01-15,ESACCI,17.0155198319472,OL
2000-01-15,METOFFICE,NA,OL
2000-01-16,ESACCI,16.878151413965,OL
2000-01-16,METOFFICE,NA,OL
2000-01-17,ESACCI,16.9660461488425,OL
2000-01-17,METOFFICE,NA,OL
2000-01-18,ESACCI,16.9439408861787,OL
2000-01-18,METOFFICE,NA,OL
2000-01-19,ESACCI,17.0078882531704,OL
2000-01-19,METOFFICE,NA,OL
2000-01-20,ESACCI,16.977888253841,OL
2000-01-20,METOFFICE,NA,OL
2000-01-21,ESACCI,16.9913093061726,OL
2000-01-21,METOFFICE,NA,OL
2000-01-22,ESACCI,17.0173619371692,OL
2000-01-22,METOFFICE,NA,OL
2000-01-23,ESACCI,17.0076250952816,OL
2000-01-23,METOFFICE,NA,OL
2000-01-24,ESACCI,16.95973035951,OL
2000-01-24,METOFFICE,NA,OL
2000-01-25,ESACCI,16.9713093066196,OL
2000-01-25,METOFFICE,NA,OL
2000-01-26,ESACCI,17.0428882523881,OL
2000-01-26,METOFFICE,NA,OL
2000-01-27,ESACCI,17.0028882532822,OL
2000-01-27,METOFFICE,NA,OL
2000-01-28,ESACCI,16.9831514116181,OL
2000-01-28,METOFFICE,NA,OL
2000-01-29,ESACCI,16.8994672029622,OL
2000-01-29,METOFFICE,NA,OL
2000-01-30,ESACCI,16.8699935194105,OL
2000-01-30,METOFFICE,NA,OL
2000-01-31,ESACCI,16.7936777316426,OL
2000-01-31,METOFFICE,NA,OL
2000-02-01,ESACCI,16.9702566750642,OL
2000-02-01,METOFFICE,NA,OL
2000-02-02,ESACCI,17.0036777269488,OL
2000-02-02,METOFFICE,NA,OL
2000-02-03,ESACCI,16.9997303586159,OL
2000-02-03,METOFFICE,NA,OL
2000-02-04,ESACCI,16.8913093084078,OL
2000-02-04,METOFFICE,NA,OL
2000-02-05,ESACCI,16.9915724640614,OL
2000-02-05,METOFFICE,NA,OL
2000-02-06,ESACCI,16.9736777276193,OL
2000-02-06,METOFFICE,NA,OL
2000-02-07,ESACCI,16.9692040435088,OL
2000-02-07,METOFFICE,NA,OL
2000-02-08,ESACCI,16.9665724646202,OL
2000-02-08,METOFFICE,NA,OL
2000-02-09,ESACCI,16.9052566765171,OL
2000-02-09,METOFFICE,NA,OL
2000-02-10,ESACCI,16.8520987829684,OL
2000-02-10,METOFFICE,NA,OL
2000-02-11,ESACCI,16.7652566796463,OL
2000-02-11,METOFFICE,NA,OL
2000-02-12,ESACCI,16.6999935232103,OL
2000-02-12,METOFFICE,NA,OL
2000-02-13,ESACCI,16.682361944657,OL
2000-02-13,METOFFICE,NA,OL
2000-02-14,ESACCI,16.6168356303322,OL
2000-02-14,METOFFICE,NA,OL
2000-02-15,ESACCI,16.5818356311145,OL
2000-02-15,METOFFICE,NA,OL
2000-02-16,ESACCI,16.5073619485686,OL
2000-02-16,METOFFICE,NA,OL
2000-02-17,ESACCI,16.521046158789,OL
2000-02-17,METOFFICE,NA,OL
2000-02-18,ESACCI,16.5189408956782,OL
2000-02-18,METOFFICE,NA,OL
2000-02-19,ESACCI,16.5144672115676,OL
2000-02-19,METOFFICE,NA,OL
2000-02-20,ESACCI,16.6542040505496,OL
2000-02-20,METOFFICE,NA,OL
2000-02-21,ESACCI,17.2431514058066,OL
2000-02-21,METOFFICE,NA,OL
2000-02-22,ESACCI,17.2039408803673,OL
2000-02-22,METOFFICE,NA,OL
2000-02-23,ESACCI,17.2339408796967,OL
2000-02-23,METOFFICE,NA,OL
2000-02-24,ESACCI,17.1323619345987,OL
2000-02-24,METOFFICE,NA,OL
2000-02-25,ESACCI,17.035782989389,OL
2000-02-25,METOFFICE,NA,OL
2000-02-26,ESACCI,17.0176250950581,OL
2000-02-26,METOFFICE,NA,OL
2000-02-27,ESACCI,17.0107829899478,OL
2000-02-27,METOFFICE,NA,OL
2000-02-28,ESACCI,17.0070987795038,OL
2000-02-28,METOFFICE,NA,OL
2000-02-29,ESACCI,16.965256675176,OL
2000-02-29,METOFFICE,NA,OL
2000-03-01,ESACCI,17.1057829878244,OL
2000-03-01,METOFFICE,NA,OL
2000-03-02,ESACCI,17.0868356198269,OL
2000-03-02,METOFFICE,NA,OL
2000-03-03,ESACCI,17.0955198301591,OL
